Name	Value	Time
txRejected-total	0	2020-01-30T21:22:00.062Z
txExpired-average	0	2020-01-30T21:22:00.062Z
txExpired-total	0	2020-01-30T21:22:00.062Z
txProcessed-average	0.07407407407407407	2020-01-30T21:22:00.062Z
txProcessed-total	2	2020-01-30T21:22:00.062Z
queueLength-average	0.5185185185185185	2020-01-30T21:22:00.062Z
queueLength-value	0	2020-01-30T21:22:00.062Z
serverLoad-average	0.005708111594971499	2020-01-30T21:22:00.062Z
serverLoad-value	0.05406923076923077	2020-01-30T21:22:00.062Z
txTimeInQueue-average	0.781	2020-01-30T21:22:00.062Z
txInjected-average	0.07142857142857142	2020-01-30T21:22:01.063Z
txInjected-total	2	2020-01-30T21:22:01.063Z
txApplied-average	0.07142857142857142	2020-01-30T21:22:01.063Z
txApplied-total	2	2020-01-30T21:22:01.063Z
txRejected-average	0	2020-01-30T21:22:01.063Z
txRejected-total	0	2020-01-30T21:22:01.063Z
txExpired-average	0	2020-01-30T21:22:01.063Z
txExpired-total	0	2020-01-30T21:22:01.063Z
txProcessed-average	0.07142857142857142	2020-01-30T21:22:01.063Z
txProcessed-total	2	2020-01-30T21:22:01.063Z
queueLength-average	0.5	2020-01-30T21:22:01.063Z
queueLength-value	0	2020-01-30T21:22:01.063Z
serverLoad-average	0.00736377427610347	2020-01-30T21:22:01.063Z
serverLoad-value	0.05206666666666667	2020-01-30T21:22:01.063Z
txTimeInQueue-average	0.7531071428571429	2020-01-30T21:22:01.063Z
txInjected-average	0.06896551724137931	2020-01-30T21:22:02.064Z
txInjected-total	2	2020-01-30T21:22:02.064Z
txApplied-average	0.06896551724137931	2020-01-30T21:22:02.064Z
txApplied-total	2	2020-01-30T21:22:02.064Z
txRejected-average	0	2020-01-30T21:22:02.064Z
txRejected-total	0	2020-01-30T21:22:02.064Z
txExpired-average	0	2020-01-30T21:22:02.064Z
txExpired-total	0	2020-01-30T21:22:02.064Z
txProcessed-average	0.06896551724137931	2020-01-30T21:22:02.064Z
txProcessed-total	2	2020-01-30T21:22:02.064Z
queueLength-average	0.4827586206896552	2020-01-30T21:22:02.064Z
queueLength-value	0	2020-01-30T21:22:02.064Z
serverLoad-average	0.008841131813380691	2020-01-30T21:22:02.064Z
serverLoad-value	0.05020714285714286	2020-01-30T21:22:02.064Z
txTimeInQueue-average	0.7271379310344828	2020-01-30T21:22:02.064Z
txInjected-average	0.06666666666666667	2020-01-30T21:22:03.065Z
txInjected-total	2	2020-01-30T21:22:03.065Z
txApplied-average	0.06666666666666667	2020-01-30T21:22:03.065Z
txApplied-total	2	2020-01-30T21:22:03.065Z
txRejected-average	0	2020-01-30T21:22:03.065Z
txRejected-total	0	2020-01-30T21:22:03.065Z
txExpired-average	0	2020-01-30T21:22:03.065Z
txExpired-total	0	2020-01-30T21:22:03.065Z
txProcessed-average	0.06666666666666667	2020-01-30T21:22:03.065Z
txProcessed-total	2	2020-01-30T21:22:03.065Z
queueLength-average	0.4666666666666667	2020-01-30T21:22:03.065Z
queueLength-value	0	2020-01-30T21:22:03.065Z
serverLoad-average	0.010162289488566852	2020-01-30T21:22:03.065Z
serverLoad-value	0.048475862068965515	2020-01-30T21:22:03.065Z
txTimeInQueue-average	0.7029	2020-01-30T21:22:03.065Z
txInjected-average	0.06451612903225806	2020-01-30T21:22:04.066Z
txInjected-total	2	2020-01-30T21:22:04.066Z
txApplied-average	0.06451612903225806	2020-01-30T21:22:04.066Z
txApplied-total	2	2020-01-30T21:22:04.066Z
txRejected-average	0	2020-01-30T21:22:04.066Z
txRejected-total	0	2020-01-30T21:22:04.066Z
txExpired-average	0	2020-01-30T21:22:04.066Z
txExpired-total	0	2020-01-30T21:22:04.066Z
txProcessed-average	0.06451612903225806	2020-01-30T21:22:04.066Z
txProcessed-total	2	2020-01-30T21:22:04.066Z
queueLength-average	0.45161290322580644	2020-01-30T21:22:04.066Z
queueLength-value	0	2020-01-30T21:22:04.066Z
serverLoad-average	0.01134608660183889	2020-01-30T21:22:04.066Z
serverLoad-value	0.04686	2020-01-30T21:22:04.066Z
txTimeInQueue-average	0.6802258064516129	2020-01-30T21:22:04.066Z
txInjected-average	0.0625	2020-01-30T21:22:05.067Z
txInjected-total	2	2020-01-30T21:22:05.067Z
txApplied-average	0.0625	2020-01-30T21:22:05.067Z
txApplied-total	2	2020-01-30T21:22:05.067Z
txRejected-average	0	2020-01-30T21:22:05.067Z
txRejected-total	0	2020-01-30T21:22:05.067Z
txExpired-average	0	2020-01-30T21:22:05.067Z
txExpired-total	0	2020-01-30T21:22:05.067Z
txProcessed-average	0.0625	2020-01-30T21:22:05.067Z
txProcessed-total	2	2020-01-30T21:22:05.067Z
queueLength-average	0.4375	2020-01-30T21:22:05.067Z
queueLength-value	0	2020-01-30T21:22:05.067Z
